"","Subfamily","Genus"
"Rostromyrmex","Myrmicinae","Rostromyrmex"
"Rotastruma","Myrmicinae","Rotastruma"
"Royidris","Myrmicinae","Royidris"
"Santschiella","Formicinae","Santschiella"
"Scyphodon","Leptanillinae","Scyphodon"
"Secostruma","Myrmicinae","Secostruma"
"Sericomyrmex","Myrmicinae","Sericomyrmex"
"Simopelta","Ponerinae","Simopelta"
"Simopone","Dorylinae","Simopone"
"Solenopsis","Myrmicinae","Solenopsis"
"Sphinctomyrmex","Dorylinae","Sphinctomyrmex"
"Stegomyrmex","Myrmicinae","Stegomyrmex"
"Stenamma","Myrmicinae","Stenamma"
"Stereomyrmex","Myrmicinae","Stereomyrmex"
"Stigmacros","Formicinae","Stigmacros"
"Stigmatomma","Amblyoponinae","Stigmatomma"
"Streblognathus","Ponerinae","Streblognathus"
"Strongylognathus","Myrmicinae","Strongylognathus"
"Strumigenys","Myrmicinae","Strumigenys"
"Syllophopsis","Myrmicinae","Syllophopsis"
"Syscia","Dorylinae","Syscia"
"Talaridris","Myrmicinae","Talaridris"
"Tanipone","Dorylinae","Tanipone"
"Tapinolepis","Formicinae","Tapinolepis"
"Tapinoma","Dolichoderinae","Tapinoma"
"Tatuidris","Agroecomyrmecinae","Tatuidris"
"Technomyrmex","Dolichoderinae","Technomyrmex"
"Temnothorax","Myrmicinae","Temnothorax"
"Terataner","Myrmicinae","Terataner"
"Teratomyrmex","Formicinae","Teratomyrmex"
"Tetheamyrma","Myrmicinae","Tetheamyrma"
"Tetramorium","Myrmicinae","Tetramorium"
"Tetraponera","Pseudomyrmecinae","Tetraponera"
"Thaumatomyrmex","Ponerinae","Thaumatomyrmex"
"Trachymyrmex","Myrmicinae","Trachymyrmex"
"Tranopelta","Myrmicinae","Tranopelta"
"Trichomyrmex","Myrmicinae","Trichomyrmex"
"Tropidomyrmex","Myrmicinae","Tropidomyrmex"
"Turneria","Dolichoderinae","Turneria"
"Typhlomyrmex","Ectatomminae","Typhlomyrmex"
"Tyrannomyrmex","Myrmicinae","Tyrannomyrmex"
"Veromessor","Myrmicinae","Veromessor"
"Vicinopone","Dorylinae","Vicinopone"
"Vitsika","Myrmicinae","Vitsika"
"Vollenhovia","Myrmicinae","Vollenhovia"
"Vombisidris","Myrmicinae","Vombisidris"
"Wasmannia","Myrmicinae","Wasmannia"
"Xenomyrmex","Myrmicinae","Xenomyrmex"
"Xerolitor","Myrmicinae","Xerolitor"
"Xymmer","Amblyoponinae","Xymmer"
"Yavnella","Leptanillinae","Yavnella"
"Yunodorylus","Dorylinae","Yunodorylus"
"Zasphinctus","Dorylinae","Zasphinctus"
"Zatania","Formicinae","Zatania"
